,property_type,place_with_parent_names,region,lat-lon,area_m2, price_usd ,lat,lon,price_brl,state
3066,apartment,|Brasil|Ceará|Fortaleza|Benfica|,Northeast,"-3.744422,-38.539082",73," $146,434.18 ",-29.70497906,-53.71831038,270571.52,Rio Grande do Sul
3067,house,|Brasil|Ceará|Fortaleza|Centro|,Northeast,"-3.739245,-38.53476",182," $109,217.99 ",-29.33172412,-49.72454993,436145.16,Rio Grande do Sul
3068,house,|Brasil|Ceará|Fortaleza|Centro|,Northeast,"-3.7343407,-38.5268563",100," $405,666.85 ",-29.152563,-51.17152,632199.09,Rio Grande do Sul
3069,apartment,|Brasil|Ceará|Fortaleza|Cocó|,Northeast,"-3.747069,-38.477108",102," $121,700.05 ",-30.0532712,-51.1625581,484605.74,Rio Grande do Sul
3070,apartment,|Brasil|Ceará|Fortaleza|Cocó|,Northeast,,100," $87,374.39 ",-30.043938,-51.191223,369307.22,Rio Grande do Sul
3071,apartment,|Brasil|Ceará|Fortaleza|Cocó|,Northeast,,126," $218,435.99 ",-30.021929,-51.191223,555277.43,Rio Grande do Sul
3072,apartment,|Brasil|Ceará|Fortaleza|Guararapes|,Northeast,"-3.767818,-38.492821",104," $199,712.91 ",-30.022408,-51.182068,686524.82,Rio Grande do Sul
3073,apartment,|Brasil|Ceará|Fortaleza|Guararapes|,Northeast,"-3.762158,-38.485336",148," $452,474.56 ",-30.048101,-51.171612,464413.85,Rio Grande do Sul
3074,apartment,|Brasil|Ceará|Fortaleza|Guararapes|,Northeast,"-3.774008,-38.490818",74," $163,826.99 ",-30.01619,-51.192261,499063.83,Rio Grande do Sul
3075,apartment,|Brasil|Ceará|Fortaleza|Guararapes|,Northeast,"-3.764348,-38.489929",138," $322,240.52 ",-30.104843,-51.248154,334372.75,Rio Grande do Sul
3076,apartment,|Brasil|Ceará|Fortaleza|Guararapes|,Northeast,"-3.763332,-38.484375",164," $337,713.91 ",-29.70775368,-53.72921706,456217.94,Rio Grande do Sul
3077,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,"-3.758406,-38.571667",84," $140,423.14 ",-30.1530607,-51.1722469,598876.59,Rio Grande do Sul
3078,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,,64," $145,244.02 ",-30.140226,-51.211555,978165.11,Rio Grande do Sul
3079,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,"-3.739817,-38.555347",82," $165,387.25 ",-30.050968,-51.202202,568932.77,Rio Grande do Sul
3080,house,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,,156," $140,423.14 ",-30.034859,-51.144165,898539.83,Rio Grande do Sul
3081,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,,151," $292,539.47 ",-30.1593298,-51.2258451,494073.18,Rio Grande do Sul
3082,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,"-3.7409152,-38.5618555",171," $307,951.07 ",-30.068159,-51.229153,696193.55,Rio Grande do Sul
3083,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,,83," $152,905.19 ",-30.102453,-51.244743,368502.29,Rio Grande do Sul
3084,house,|Brasil|Ceará|Fortaleza|Passaré|,Northeast,"-3.8144494,-38.5246214",160," $90,494.91 ",-30.039728,-51.18372,858156.04,Rio Grande do Sul
3085,house,|Brasil|Ceará|Fortaleza|Passaré|,Northeast,"-3.8136824,-38.5239292",203," $99,856.45 ",-30.045778,-51.171303,701668.75,Rio Grande do Sul
3086,apartment,|Brasil|Ceará|Fortaleza|Passaré|,Northeast,"-3.812237,-38.533596",58," $78,053.42 ",-29.6997659,-53.8143808,499063.83,Rio Grande do Sul
3087,house,|Brasil|Ceará|Fortaleza|Passaré|,Northeast,"-3.812413,-38.5192793",243," $90,494.91 ",-30.029697,-51.202991,300859.38,Rio Grande do Sul
3088,apartment,|Brasil|Ceará|Fortaleza|Praia de Iracema|,Northeast,"-3.721134,-38.515652",63," $134,182.11 ",-30.102926,-51.242554,352348.75,Rio Grande do Sul
3089,apartment,|Brasil|Ceará|Fortaleza|Parquelândia|,Northeast,,92," $173,906.25 ",-30.029264,-51.191223,598876.59,Rio Grande do Sul
3090,apartment,|Brasil|Ceará|Fortaleza|Praia de Iracema|,Northeast,"-3.741888,-38.517216",75," $177,197.77 ",-30.046034,-51.141762,329382.13,Rio Grande do Sul
3091,apartment,|Brasil|Ceará|Fortaleza|Praia de Iracema|,Northeast,,75," $152,905.19 ",-29.68615195,-53.8035846,284466.37,Rio Grande do Sul
3092,house,|Brasil|Ceará|Fortaleza|,Northeast,"-3.732956,-38.592663",130," $123,260.31 ",-30.128674,-51.234386,902307.4,Rio Grande do Sul
3093,apartment,|Brasil|Ceará|Fortaleza|São Gerardo|,Northeast,"-3.724844,-38.572979",84," $166,152.40 ",-30.049839,-51.218689,908635.8,Rio Grande do Sul
3094,apartment,|Brasil|Ceará|Fortaleza|São Gerardo|,Northeast,"-3.733422,-38.559044",56," $117,101.66 ",-30.033369,-51.159775,787484.34,Rio Grande do Sul
3095,apartment,|Brasil|Ceará|Fortaleza|São Gerardo|,Northeast,"-3.737558,-38.582165",80," $143,543.65 ",-30.11075,-51.244957,499749.67,Rio Grande do Sul
3096,house,|Brasil|Ceará|Fortaleza|São Gerardo|,Northeast,"-3.7322261,-38.5555667",172," $234,038.56 ",-30.081381,-51.205845,408179.39,Rio Grande do Sul
3097,house,|Brasil|Ceará|Fortaleza|São Gerardo|,Northeast,"-3.7327892,-38.555178",184," $168,507.77 ",-30.025932,-51.197933,793511.5,Rio Grande do Sul
3098,house,|Brasil|Ceará|Fortaleza|,Northeast,"-3.740424,-38.594528",187," $81,133.37 ",-29.33136,-49.803558,706716.72,Rio Grande do Sul
3099,apartment,|Brasil|Ceará|Fortaleza|Edson Queiroz|,Northeast,,70," $176,604.88 ",-29.6873064,-53.8154769,314410.19,Rio Grande do Sul
3100,apartment,|Brasil|Ceará|Fortaleza|Edson Queiroz|,Northeast,"-3.788293,-38.466591",70," $176,604.88 ",-29.680191,-53.8090266,272590.73,Rio Grande do Sul
3101,apartment,|Brasil|Ceará|Fortaleza|Engenheiro Luciano Cavalcante|,Northeast,"-3.783123,-38.487621",72," $129,196.46 ",-30.05175,-51.182068,343262.39,Rio Grande do Sul
3102,apartment,|Brasil|Ceará|Fortaleza|Monte Castelo|,Northeast,"-3.72187,-38.551979",61," $93,615.42 ",-29.89617,-51.163769,545181.47,Rio Grande do Sul
3103,apartment,|Brasil|Ceará|Fortaleza|Monte Castelo|,Northeast,"-3.72187,-38.551979",76," $87,374.39 ",-30.019569,-51.149391,418982.05,Rio Grande do Sul
3104,apartment,|Brasil|Ceará|Fortaleza|Monte Castelo|,Northeast,"-3.728054,-38.569302",71," $131,394.55 ",-29.912743,-50.994072,364316.6,Rio Grande do Sul
3105,house,|Brasil|Ceará|Fortaleza|Monte Castelo|,Northeast,"-3.72187,-38.551979",120," $87,374.39 ",-30.067726,-51.217381,464413.85,Rio Grande do Sul
3106,house,|Brasil|Ceará|Fortaleza|Henrique Jorge|,Northeast,"-3.7661511,-38.5788064",180," $121,700.05 ",-30.028967,-51.151142,580517.3,Rio Grande do Sul
3107,apartment,|Brasil|Ceará|Fortaleza|Jóquei Clube|,Northeast,"-3.75609,-38.596596",63," $111,631.40 ",-30.018824,-51.169468,343262.39,Rio Grande do Sul
3108,apartment,|Brasil|Ceará|Fortaleza|Jóquei Clube|,Northeast,"-3.75609,-38.596596",63," $115,146.97 ",-30.015261,-51.165073,757196.48,Rio Grande do Sul
3109,house,|Brasil|Ceará|Fortaleza|Lagoa Redonda|,Northeast,"-3.831467,-38.458706",186," $245,896.52 ",-30.057297,-51.155926,1391389.97,Rio Grande do Sul
3110,house,|Brasil|Ceará|Fortaleza|Lagoa Redonda|,Northeast,"-3.831467,-38.458706",176," $244,319.72 ",-30.005791,-51.160793,408886.09,Rio Grande do Sul
3111,house,|Brasil|Ceará|Fortaleza|Lagoa Redonda|,Northeast,"-3.83142,-38.462162",95," $98,577.04 ",-30.130671,-51.22604,479101.27,Rio Grande do Sul
3112,house,|Brasil|Ceará|Fortaleza|Messejana|,Northeast,,131," $171,316.23 ",-30.031719,-51.207718,302878.6,Rio Grande do Sul
3113,house,|Brasil|Ceará|Fortaleza|Vila Velha|,Northeast,"-3.754921,-38.577728",228," $93,615.42 ",-29.68940845,-53.80844276,339363.39,Rio Grande do Sul
